epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,252.371,1.13425,0.70064,1.11546,0.94214,0.82759,0.88405,0.47084,1.59637,0.85812,1.33266,0.000840286,0.000840286,0.000840286
43,258.624,1.09186,0.68313,1.09729,0.94097,0.82759,0.90271,0.52875,1.43241,0.80655,1.26875,0.000812,0.000812,0.000812
44,264.79,1.118,0.68261,1.10881,0.92648,0.83908,0.88693,0.45219,1.63603,0.80983,1.35204,0.000783714,0.000783714,0.000783714
45,270.779,1.06002,0.66137,1.07857,0.90808,0.82759,0.85157,0.48063,1.44262,0.81815,1.27881,0.000755429,0.000755429,0.000755429
46,277.547,1.07042,0.66416,1.08277,0.93191,0.82759,0.8647,0.45531,1.4826,0.83091,1.29132,0.000727143,0.000727143,0.000727143
47,283.858,1.07937,0.67993,1.09397,0.90991,0.81272,0.86892,0.48263,1.45964,0.83838,1.30286,0.000698857,0.000698857,0.000698857
48,290.71,0.99864,0.65523,1.06083,0.93172,0.83908,0.90568,0.51612,1.51015,0.78446,1.31265,0.000670571,0.000670571,0.000670571
49,297.918,1.05984,0.65324,1.09259,0.93639,0.83908,0.91375,0.53238,1.44977,0.75946,1.27227,0.000642286,0.000642286,0.000642286
50,303.99,1.07368,0.65111,1.10075,0.92399,0.85057,0.89113,0.51276,1.39468,0.76798,1.24565,0.000614,0.000614,0.000614
51,310.855,1.01474,0.63453,1.06402,0.90357,0.86168,0.88853,0.50983,1.41983,0.80198,1.26101,0.000585714,0.000585714,0.000585714
52,317.042,1.05394,0.62881,1.08039,0.87321,0.87079,0.88168,0.49814,1.46507,0.77503,1.27601,0.000557429,0.000557429,0.000557429
53,323.011,1.00716,0.62154,1.05879,0.89795,0.86207,0.90007,0.4907,1.48644,0.78114,1.30126,0.000529143,0.000529143,0.000529143
54,329.281,1.00507,0.58246,1.07783,0.90959,0.83908,0.85744,0.4951,1.46827,0.72595,1.28043,0.000500857,0.000500857,0.000500857
55,335.206,1.03551,0.61573,1.08239,0.92289,0.82546,0.85723,0.49542,1.44233,0.77859,1.2657,0.000472571,0.000472571,0.000472571
56,341.22,1.03293,0.61121,1.06411,0.94824,0.84241,0.88384,0.47061,1.49783,0.77383,1.28491,0.000444286,0.000444286,0.000444286
57,347.449,0.99364,0.58788,1.05584,0.92707,0.8046,0.85657,0.4855,1.46534,0.74515,1.27814,0.000416,0.000416,0.000416
58,353.804,0.99369,0.57204,1.0493,0.92431,0.84221,0.88666,0.50019,1.47986,0.74745,1.27781,0.000387714,0.000387714,0.000387714
59,360.534,0.9993,0.5806,1.04667,0.92495,0.83908,0.90259,0.51171,1.44883,0.74231,1.27323,0.000359429,0.000359429,0.000359429
60,366.417,0.99564,0.57544,1.05358,0.89181,0.85271,0.89599,0.52732,1.44691,0.72897,1.25682,0.000331143,0.000331143,0.000331143
61,377.764,0.94199,0.54955,1.035,0.89106,0.87356,0.88451,0.51701,1.44721,0.70638,1.26398,0.000302857,0.000302857,0.000302857
62,384.054,0.94265,0.53208,1.05172,0.88337,0.87356,0.86676,0.50517,1.433,0.71622,1.27849,0.000274571,0.000274571,0.000274571
63,390.187,0.97084,0.54574,1.06365,0.90775,0.86207,0.8738,0.49469,1.45253,0.73783,1.29632,0.000246286,0.000246286,0.000246286
64,396.315,0.93592,0.53298,1.02443,0.90329,0.85888,0.86272,0.50081,1.45153,0.72624,1.28751,0.000218,0.000218,0.000218
65,403.374,0.90832,0.52232,1.02679,0.88184,0.85786,0.86187,0.50624,1.41834,0.73596,1.2646,0.000189714,0.000189714,0.000189714
66,409.453,0.91808,0.51841,1.03039,0.91588,0.83908,0.88101,0.50538,1.41725,0.74868,1.25066,0.000161429,0.000161429,0.000161429
67,415.423,0.88266,0.52506,1.00045,0.89103,0.84587,0.86814,0.50282,1.42301,0.73308,1.25606,0.000133143,0.000133143,0.000133143
68,422.08,0.8674,0.48371,0.99969,0.9117,0.83078,0.86192,0.50393,1.408,0.71343,1.25769,0.000104857,0.000104857,0.000104857
69,428.175,0.88547,0.49831,1.01893,0.91714,0.82759,0.8612,0.50418,1.39804,0.72137,1.25432,7.65714e-05,7.65714e-05,7.65714e-05
70,434.826,0.86747,0.49689,1.02191,0.89683,0.87356,0.86662,0.50727,1.42862,0.727,1.26842,4.82857e-05,4.82857e-05,4.82857e-05
